Date,"Bitcoin"
2020-08-04,7087
2020-08-05,7075
2020-08-06,7096
2020-08-07,6592
2020-08-08,6851
2020-08-09,6563
2020-08-10,7047
2020-08-11,6986
2020-08-12,6900
2020-08-13,8071
2020-08-14,7746
2020-08-15,6513
2020-08-16,6606
2020-08-17,7632
2020-08-18,7186
2020-08-19,7064
2020-08-20,8005
2020-08-21,6568
2020-08-22,5955
2020-08-23,6466
2020-08-24,6714
2020-08-25,6529
2020-08-26,6236
2020-08-27,6974
2020-08-28,7097
2020-08-29,5779
2020-08-30,5654
2020-08-31,6682
2020-09-01,6706
2020-09-02,6632
2020-09-03,7311
2020-09-04,6179
2020-09-05,5505
2020-09-06,5306
2020-09-07,5815
2020-09-08,6672
2020-09-09,5959
2020-09-10,5940
2020-09-11,6248
2020-09-12,5571
2020-09-13,5610
2020-09-14,6123
2020-09-15,6299
2020-09-16,5779
2020-09-17,5779
2020-09-18,5858
2020-09-19,4982
2020-09-20,5000
2020-09-21,5503
2020-09-22,5424
2020-09-23,5679
2020-09-24,5267
2020-09-25,5366
2020-09-26,4535
2020-09-27,4734
2020-09-28,5029
2020-09-29,5172
2020-09-30,4581
2020-10-01,4493
2020-10-02,4187
2020-10-03,4085
2020-10-04,3876
2020-10-05,4685
2020-10-06,5069
2020-10-07,5303
2020-10-08,5223
2020-10-09,5197
2020-10-10,4699
2020-10-11,4672
2020-10-12,5868
2020-10-13,5140
2020-10-14,5374
2020-10-15,5270
2020-10-16,5117
2020-10-17,12703
2020-10-18,4890
2020-10-19,5495
2020-10-20,6333
2020-10-21,7147
2020-10-22,8132
2020-10-23,6317
2020-10-24,5459
2020-10-25,5548
2020-10-26,6773
2020-10-27,7317
2020-10-28,7110
2020-10-29,6282
2020-10-30,6163
2020-10-31,6119
2020-11-01,5993
2020-11-02,6209
2020-11-03,6241
2020-11-04,6075
2020-11-05,8683
2020-11-06,10097
2020-11-07,7064
2020-11-08,6178
2020-11-09,7055
2020-11-10,6830
2020-11-11,7309
2020-11-12,7612
2020-11-13,7455
2020-11-14,6092
2020-11-15,7145
2020-11-16,7621
2020-11-17,11298
2020-11-18,13546
2020-11-19,10425
2020-11-20,10006
2020-11-21,10745
2020-11-22,9703
2020-11-23,10626
2020-11-24,12846
2020-11-25,11402
2020-11-26,12462
2020-11-27,10039
2020-11-28,8585
2020-11-29,8143
2020-11-30,13123
2020-12-01,14312
2020-12-02,11173
2020-12-03,11305
2020-12-04,10447
2020-12-05,9672
2020-12-06,9920
2020-12-07,10204
2020-12-08,9557
2020-12-09,8970
2020-12-10,10014
2020-12-11,8696
2020-12-12,7173
2020-12-13,7678
2020-12-14,8378
2020-12-15,7916
2020-12-16,16088
2020-12-17,28483
2020-12-18,20062
2020-12-19,14716
2020-12-20,14650
2020-12-21,15157
2020-12-22,12913
2020-12-23,11355
2020-12-24,9831
2020-12-25,9329
2020-12-26,13154
2020-12-27,19294
2020-12-28,18902
2020-12-29,18074
2020-12-30,19704
2020-12-31,16305
2021-01-01,13774
2021-01-02,30157
2021-01-03,43194
2021-01-04,34344
2021-01-05,27838
2021-01-06,28175
2021-01-07,36162
2021-01-08,39469
2021-01-09,31114
2021-01-10,28672
2021-01-11,36034
2021-01-12,32658
2021-01-13,33660
2021-01-14,37020
2021-01-15,32078
2021-01-16,27369
2021-01-17,25619
2021-01-18,21719
2021-01-19,21160
2021-01-20,16493
2021-01-21,18333
2021-01-22,20243
2021-01-23,15745
2021-01-24,14696
2021-01-25,15964
2021-01-26,14616
2021-01-27,16179
2021-01-28,19555
2021-01-29,35594
2021-01-30,26792
2021-01-31,21437
2021-02-01,20630
2021-02-02,18219
2021-02-03,17573
2021-02-04,19452
2021-02-05,18528
2021-02-06,19771
2021-02-07,19851
2021-02-08,50244
2021-02-09,61878
2021-02-10,42689
2021-02-11,38117
2021-02-12,33109
2021-02-13,28789
2021-02-14,27577
2021-02-15,29092
2021-02-16,36913
2021-02-17,37916
2021-02-18,32559
2021-02-19,35291
2021-02-20,40186
2021-02-21,35521
2021-02-22,36198
2021-02-23,36909
2021-02-24,31977
2021-02-25,27352
2021-02-26,26786
2021-02-27,25436
2021-02-28,24309
2021-03-01,23853
2021-03-02,21540
2021-03-03,19713
2021-03-04,18634
2021-03-05,18268
2021-03-06,19154
2021-03-07,18321
2021-03-08,18891
2021-03-09,20546
2021-03-10,20086
2021-03-11,18750
2021-03-12,18257
2021-03-13,22149
2021-03-14,26524
2021-03-15,23676
2021-03-16,21122
2021-03-17,19020
2021-03-18,19066
2021-03-19,16539
2021-03-20,14869
2021-03-21,14352
2021-03-22,15723
2021-03-23,15708
2021-03-24,21868
2021-03-25,19518
2021-03-26,15586
2021-03-27,16429
2021-03-28,15407
2021-03-29,15302
2021-03-30,15752
2021-03-31,15945
2021-04-01,18596
2021-04-02,14859
2021-04-03,14282
2021-04-04,13611
2021-04-05,15654
2021-04-06,16513
2021-04-07,16310
2021-04-08,16919
2021-04-09,15637
2021-04-10,15195
2021-04-11,16277
2021-04-12,16409
2021-04-13,19932
2021-04-14,25099
2021-04-15,24510
2021-04-16,27182
2021-04-17,21863
2021-04-18,23391
2021-04-19,25167
2021-04-20,21249
2021-04-21,17594
2021-04-22,17743
2021-04-23,20632
2021-04-24,16883
2021-04-25,15460
2021-04-26,17362
2021-04-27,23996
2021-04-28,28758
2021-04-29,23305
2021-04-30,22555
2021-05-01,18129
2021-05-02,19853
2021-05-03,22204
2021-05-04,21952
2021-05-05,23933
2021-05-06,24629
2021-05-07,23366
2021-05-08,25201
2021-05-09,27501
2021-05-10,27868
2021-05-11,24676
2021-05-12,23491
2021-05-13,63121
2021-05-14,40525
2021-05-15,30379
2021-05-16,29323
2021-05-17,32345
2021-05-18,26906
2021-05-19,47772
2021-05-20,45401
2021-05-21,36220
2021-05-22,37600
2021-05-23,35716
2021-05-24,33931
2021-05-25,42732
2021-05-26,28357
2021-05-27,21352
2021-05-28,26425
2021-05-29,31462
2021-05-30,24819
2021-05-31,17700
2021-06-01,14187
2021-06-02,15495
2021-06-03,16006
2021-06-04,19961
2021-06-05,19056
2021-06-06,20284
2021-06-07,19052
2021-06-08,22072
2021-06-09,25055
2021-06-10,25463
2021-06-11,21777
2021-06-12,17735
